ORI - Agency,Crime Against,MICR Offense,Offenses
 Adrian Police Department Total,All Other, Juvenile Runaway,5
 Adrian Police Department Total,All Other, Miscellaneous Criminal Offense,31
 Adrian Police Department Total,All Other,,328
 Adrian Township Police Department Total,All Other,,126
 Adrian Township Police Department Total,Person, Kidnapping/Abduction,1
 Adrian Township Police Department Total,Person, Sexual Penetration Oral/Anal CSC 3rd,1
 Adrian Township Police Department Total,Person, Sexual Contact Forcible CSC 2nd,0
 Adrian Township Police Department Total,Person, Nonaggravated Assault,14
 Adrian Township Police Department Total,Person, Aggravated/Felonious Assault,1
 Adrian Township Police Department Total,Person, Intimidation/Stalking,3
 Adrian Township Police Department Total,Person,,20
 Adrian Township Police Department Total,Property, Robbery,1
 Adrian Township Police Department Total,Property, Extortion,1
 Adrian Township Police Department Total,Property, Burglary Forced Entry,2
 Adrian Township Police Department Total,Property, Burglary Entry w/out Authorization w/or w/out Force,1
 Adrian Township Police Department Total,Property, Larceny Theft from Building,4
 Adrian Township Police Department Total,Property, Larceny Theft from Motor Vehicle,1
 Adrian Township Police Department Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,9
 Adrian Township Police Department Total,Property, Larceny Other,5
 Adrian Township Police Department Total,Property, Motor Vehicle Theft,1
 Adrian Township Police Department Total,Property, Motor Vehicle as Stolen Property,0
 Adrian Township Police Department Total,Property, Forgery/Counterfeiting,1
 Adrian Township Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,8
 Adrian Township Police Department Total,Property, Fraud Credit Card/ATM,3
 Adrian Township Police Department Total,Property, Fraud Wire,1
 Adrian Township Police Department Total,Property, Fraud Bad Checks,1
 Adrian Township Police Department Total,Property, Fraud Identity Theft,0
 Adrian Township Police Department Total,Property, Damage To Property,6
 Adrian Township Police Department Total,Property, Retail Fraud Theft,1
 Adrian Township Police Department Total,Property,,46
 Adrian Township Police Department Total,Society, Violation of Controlled Substance,11
 Adrian Township Police Department Total,Society, Narcotic Equipment Violations,1
 Adrian Township Police Department Total,Society, Obscenity,0
 Adrian Township Police Department Total,Society, Liquor Violations Other,4
 Adrian Township Police Department Total,Society, Weapons Offense Concealed,3
 Adrian Township Police Department Total,Society, Disorderly Conduct,1
 Adrian Township Police Department Total,Society, OUIL or OUID,26
 Adrian Township Police Department Total,Society, Trespass,2
 Adrian Township Police Department Total,Society,,48
 Adrian Township Police Department Total,All Other, Possession of Burglary Tools,1
 Adrian Township Police Department Total,All Other, Obstructing Police,3
 Adrian Township Police Department Total,All Other, Obstructing Justice,5
 Adrian Township Police Department Total,All Other, Hit And Run Motor Vehicle Accident,2
 Adrian Township Police Department Total,All Other, Health And Safety,1
 Adrian Township Police Department Total,All Other, Conservation,0
 Adrian Township Police Department Total,All Other, Miscellaneous Criminal Offense,0
 Adrian Township Police Department Total,All Other,,12
 Blissfield Police Department Total,All Other,,79
 Blissfield Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 1st,1
 Blissfield Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 3rd,1
 Blissfield Police Department Total,Person, Sexual Contact Forcible CSC 2nd,2
 Blissfield Police Department Total,Person, Sexual Contact Forcible CSC 4th,1
 Blissfield Police Department Total,Person, Nonaggravated Assault,10
 Blissfield Police Department Total,Person, Aggravated/Felonious Assault,1
 Blissfield Police Department Total,Person, Intimidation/Stalking,3
 Blissfield Police Department Total,Person,,19
 Blissfield Police Department Total,Property, Burglary Forced Entry,1
 Blissfield Police Department Total,Property, Burglary Entry Without Force (Intent),1
 Blissfield Police Department Total,Property, Burglary Entry w/out Authorization w/or w/out Force,1
 Blissfield Police Department Total,Property, Larceny Theft from Building,2
 Blissfield Police Department Total,Property, Larceny Theft from Motor Vehicle,0
 Blissfield Police Department Total,Property, Larceny Other,6
 Blissfield Police Department Total,Property, Motor Vehicle Theft,1
 Blissfield Police Department Total,Property, Forgery/Counterfeiting,2
 Blissfield Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,5
 Blissfield Police Department Total,Property, Fraud Credit Card/ATM,2
 Blissfield Police Department Total,Property, Fraud Wire,0
 Blissfield Police Department Total,Property, Fraud Identity Theft,2
 Blissfield Police Department Total,Property, Embezzlement,0
 Blissfield Police Department Total,Property, Stolen Property,0
 Blissfield Police Department Total,Property, Damage To Property,9
 Blissfield Police Department Total,Property, Retail Fraud Theft,2
 Blissfield Police Department Total,Property,,34
 Blissfield Police Department Total,Society, Violation of Controlled Substance,1
 Blissfield Police Department Total,Society, Liquor Violations Other,0
 Blissfield Police Department Total,Society, Weapons Offense Concealed,1
 Blissfield Police Department Total,Society, Weapons Offense Other,0
 Blissfield Police Department Total,Society, Disorderly Conduct,4
 Blissfield Police Department Total,Society, Public Peace Other,1
 Blissfield Police Department Total,Society, OUIL or OUID,8
 Blissfield Police Department Total,Society, Trespass,0
 Blissfield Police Department Total,Society,,15
 Blissfield Police Department Total,All Other, Obstructing Police,3
 Blissfield Police Department Total,All Other, Obstructing Justice,5
 Blissfield Police Department Total,All Other, Health And Safety,1
 Blissfield Police Department Total,All Other, Invasion of Privacy Other,1
 Blissfield Police Department Total,All Other, Juvenile Runaway,0
 Blissfield Police Department Total,All Other, Miscellaneous Criminal Offense,1
 Blissfield Police Department Total,All Other,,11
 Clinton Police Department Total,All Other,,121
 Clinton Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 1st,0
 Clinton Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 3rd,0
 Clinton Police Department Total,Person, Sexual Contact Forcible CSC 2nd,1
 Clinton Police Department Total,Person, Nonaggravated Assault,22
 Clinton Police Department Total,Person, Aggravated/Felonious Assault,4
 Clinton Police Department Total,Person, Intimidation/Stalking,4
 Clinton Police Department Total,Person,,31
 Clinton Police Department Total,Property, Robbery,1
 Clinton Police Department Total,Property, Burglary Forced Entry,1
 Clinton Police Department Total,Property, Burglary Entry Without Force (Intent),0
 Clinton Police Department Total,Property, Larceny Theft from Motor Vehicle,2
 Clinton Police Department Total,Property, Larceny Other,6
 Clinton Police Department Total,Property, Motor Vehicle Theft,0
 Clinton Police Department Total,Property, Forgery/Counterfeiting,2
 Clinton Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,7
 Clinton Police Department Total,Property, Fraud Credit Card/ATM,1
 Clinton Police Department Total,Property, Fraud Welfare,1
 Clinton Police Department Total,Property, Fraud Identity Theft,1
 Clinton Police Department Total,Property, Embezzlement,1
 Clinton Police Department Total,Property, Damage To Property,8
 Clinton Police Department Total,Property, Retail Fraud Theft,0
 Clinton Police Department Total,Property,,31
 Clinton Police Department Total,Society, Violation of Controlled Substance,8
 Clinton Police Department Total,Society, Narcotic Equipment Violations,4
 Clinton Police Department Total,Society, Obscenity,0
 Clinton Police Department Total,Society, Family Abuse/Neglect Nonviolent,2
 Clinton Police Department Total,Society, Liquor Violations Other,1
 Clinton Police Department Total,Society, Weapons Offense Concealed,3
 Clinton Police Department Total,Society, Disorderly Conduct,6
 Clinton Police Department Total,Society, Public Peace Other,2
 Clinton Police Department Total,Society, OUIL or OUID,7
 Clinton Police Department Total,Society, Trespass,0
 Clinton Police Department Total,Society, Vagrancy,0
 Clinton Police Department Total,Society, Animal Cruelty,1
 Clinton Police Department Total,Society,,34
 Clinton Police Department Total,All Other, Sex Offense Other,0
 Clinton Police Department Total,All Other, Obstructing Police,8
 Clinton Police Department Total,All Other, Escape/Flight,2
 Clinton Police Department Total,All Other, Obstructing Justice,3
 Clinton Police Department Total,All Other, Hit And Run Motor Vehicle Accident,1
 Clinton Police Department Total,All Other, Health And Safety,6
 Clinton Police Department Total,All Other, Invasion of Privacy Other,0
 Clinton Police Department Total,All Other, Conservation,1
 Clinton Police Department Total,All Other, Juvenile Runaway,0
 Clinton Police Department Total,All Other, Miscellaneous Criminal Offense,4
 Clinton Police Department Total,All Other,,25
 Hudson Police Department Total,All Other,,152
 Hudson Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 1st,2
 Hudson Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 3rd,2
 Hudson Police Department Total,Person, Sexual Penetration Oral/Anal CSC 1st,0
 Hudson Police Department Total,Person, Sexual Penetration Oral/Anal CSC 3rd,0
 Hudson Police Department Total,Person, Sexual Penetration Object CSC 1st,0
 Hudson Police Department Total,Person, Sexual Contact Forcible CSC 2nd,0
 Hudson Police Department Total,Person, Sexual Contact Forcible CSC 4th,0
 Hudson Police Department Total,Person, Nonaggravated Assault,9
 Hudson Police Department Total,Person, Aggravated/Felonious Assault,4
 Hudson Police Department Total,Person, Intimidation/Stalking,1
 Hudson Police Department Total,Person,,18
 Hudson Police Department Total,Property, Arson,1
 Hudson Police Department Total,Property, Extortion,1
 Hudson Police Department Total,Property, Burglary Forced Entry,4
 Hudson Police Department Total,Property, Burglary Entry Without Force (Intent),1
 Hudson Police Department Total,Property, Larceny Theft from Building,5
 Hudson Police Department Total,Property, Larceny Theft from Motor Vehicle,4
 Hudson Police Department Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,3
 Hudson Police Department Total,Property, Larceny Other,15
 Hudson Police Department Total,Property, Motor Vehicle Theft,2
 Hudson Police Department Total,Property, Forgery/Counterfeiting,1
 Hudson Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,4
 Hudson Police Department Total,Property, Fraud Credit Card/ATM,0
 Hudson Police Department Total,Property, Fraud Wire,1
 Hudson Police Department Total,Property, Fraud Identity Theft,5
 Hudson Police Department Total,Property, Stolen Property,2
 Hudson Police Department Total,Property, Damage To Property,16
 Hudson Police Department Total,Property, Retail Fraud Theft,2
 Hudson Police Department Total,Property,,67
 Hudson Police Department Total,Society, Violation of Controlled Substance,6
 Hudson Police Department Total,Society, Narcotic Equipment Violations,1
 Hudson Police Department Total,Society, Obscenity,0
 Hudson Police Department Total,Society, Family Abuse/Neglect Nonviolent,2
 Hudson Police Department Total,Society, Family Other,0
 Hudson Police Department Total,Society, Liquor Violations Other,1
 Hudson Police Department Total,Society, Weapons Offense Concealed,1
 Hudson Police Department Total,Society, Disorderly Conduct,3
 Hudson Police Department Total,Society, Public Peace Other,0
 Hudson Police Department Total,Society, OUIL or OUID,6
 Hudson Police Department Total,Society, Trespass,0
 Hudson Police Department Total,Society, Vagrancy,1
 Hudson Police Department Total,Society, Animal Cruelty,0
 Hudson Police Department Total,Society,,21
 Hudson Police Department Total,All Other, Sex Offense Other,1
 Hudson Police Department Total,All Other, Obstructing Police,8
 Hudson Police Department Total,All Other, Obstructing Justice,22
 Hudson Police Department Total,All Other, Hit And Run Motor Vehicle Accident,1
 Hudson Police Department Total,All Other, Health And Safety,2
 Hudson Police Department Total,All Other, Conservation,2
 Hudson Police Department Total,All Other, Juvenile Runaway,5
 Hudson Police Department Total,All Other, Miscellaneous Criminal Offense,5
 Hudson Police Department Total,All Other,,46
 Morenci Police Department Total,All Other,,70
 Morenci Police Department Total,Person, Sexual Penetration Oral/Anal CSC 3rd,0
 Morenci Police Department Total,Person, Sexual Contact Forcible CSC 4th,1
 Morenci Police Department Total,Person, Nonaggravated Assault,15
 Morenci Police Department Total,Person, Aggravated/Felonious Assault,2
 Morenci Police Department Total,Person, Intimidation/Stalking,0
 Morenci Police Department Total,Person,,18
 Morenci Police Department Total,Property, Burglary Forced Entry,1
 Morenci Police Department Total,Property, Burglary Entry Without Force (Intent),0
 Morenci Police Department Total,Property, Burglary Entry w/out Authorization w/or w/out Force,0
 Morenci Police Department Total,Property, Larceny Theft from Building,3
 Morenci Police Department Total,Property, Larceny Theft from Motor Vehicle,1
 Morenci Police Department Total,Property, Larceny Other,6
 Morenci Police Department Total,Property, Motor Vehicle Theft,1
 Morenci Police Department Total,Property, Motor Vehicle as Stolen Property,0
 Morenci Police Department Total,Property, Forgery/Counterfeiting,1
 Morenci Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,1
 Morenci Police Department Total,Property, Fraud Credit Card/ATM,2
 Morenci Police Department Total,Property, Fraud Identity Theft,0
 Morenci Police Department Total,Property, Embezzlement,0
 Morenci Police Department Total,Property, Stolen Property,0
 Morenci Police Department Total,Property, Damage To Property,4
 Morenci Police Department Total,Property,,20
 Morenci Police Department Total,Society, Violation of Controlled Substance,6
 Morenci Police Department Total,Society, Narcotic Equipment Violations,2
 Morenci Police Department Total,Society, Obscenity,0
 Morenci Police Department Total,Society, Family Abuse/Neglect Nonviolent,2
 Morenci Police Department Total,Society, Liquor Violations Other,0
 Morenci Police Department Total,Society, Weapons Offense Concealed,1
 Morenci Police Department Total,Society, Weapons Offense Other,0
 Morenci Police Department Total,Society, Disorderly Conduct,2
 Morenci Police Department Total,Society, Public Peace Other,0
 Morenci Police Department Total,Society, OUIL or OUID,7
 Morenci Police Department Total,Society, Trespass,1
 Morenci Police Department Total,Society, Animal Cruelty,0
 Morenci Police Department Total,Society,,21
 Morenci Police Department Total,All Other, Obstructing Police,1
 Morenci Police Department Total,All Other, Obstructing Justice,8
 Morenci Police Department Total,All Other, Health And Safety,1
 Morenci Police Department Total,All Other, Juvenile Runaway,0
 Morenci Police Department Total,All Other, Miscellaneous Criminal Offense,1
 Morenci Police Department Total,All Other,,11
 Raisin Township Police Department Total,All Other,,111
 Raisin Township Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 1st,2
 Raisin Township Police Department Total,Person, Sexual Contact Forcible CSC 2nd,1
 Raisin Township Police Department Total,Person, Sexual Contact Forcible CSC 4th,3
 Raisin Township Police Department Total,Person, Nonaggravated Assault,21
 Raisin Township Police Department Total,Person, Aggravated/Felonious Assault,6
 Raisin Township Police Department Total,Person, Intimidation/Stalking,2
 Raisin Township Police Department Total,Person,,35
 Raisin Township Police Department Total,Property, Burglary Entry Without Force (Intent),2
 Raisin Township Police Department Total,Property, Burglary Entry w/out Authorization w/or w/out Force,0
 Raisin Township Police Department Total,Property, Larceny Theft from Building,6
 Raisin Township Police Department Total,Property, Larceny Theft from Motor Vehicle,3
 Raisin Township Police Department Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,3
 Raisin Township Police Department Total,Property, Larceny Other,7
 Raisin Township Police Department Total,Property, Motor Vehicle Theft,1
 Raisin Township Police Department Total,Property, Forgery/Counterfeiting,2
 Raisin Township Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,3
 Raisin Township Police Department Total,Property, Fraud Credit Card/ATM,1
 Raisin Township Police Department Total,Property, Fraud Wire,2
 Raisin Township Police Department Total,Property, Fraud Bad Checks,0
 Raisin Township Police Department Total,Property, Fraud Identity Theft,4
 Raisin Township Police Department Total,Property, Fraud Hacking/Computer Invasion,1
 Raisin Township Police Department Total,Property, Damage To Property,10
 Raisin Township Police Department Total,Property,,45
 Raisin Township Police Department Total,Society, Violation of Controlled Substance,1
 Raisin Township Police Department Total,Society, Family Abuse/Neglect Nonviolent,1
 Raisin Township Police Department Total,Society, Family Other,1
 Raisin Township Police Department Total,Society, Liquor Violations Other,0
 Raisin Township Police Department Total,Society, Weapons Offense Concealed,1
 Raisin Township Police Department Total,Society, Weapons Offense Other,2
 Raisin Township Police Department Total,Society, Disorderly Conduct,1
 Raisin Township Police Department Total,Society, OUIL or OUID,2
 Raisin Township Police Department Total,Society, Trespass,2
 Raisin Township Police Department Total,Society,,11
 Raisin Township Police Department Total,All Other, Sex Offense Other,0
 Raisin Township Police Department Total,All Other, Obstructing Police,3
 Raisin Township Police Department Total,All Other, Obstructing Justice,12
 Raisin Township Police Department Total,All Other, Hit And Run Motor Vehicle Accident,1
 Raisin Township Police Department Total,All Other, Health And Safety,2
 Raisin Township Police Department Total,All Other, Juvenile Runaway,1
 Raisin Township Police Department Total,All Other, Miscellaneous Criminal Offense,1
 Raisin Township Police Department Total,All Other,,20
 Tecumseh Police Department Total,All Other,,201
 Tecumseh Police Department Total,Person, Kidnapping/Abduction,1
 Tecumseh Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 1st,4
 Tecumseh Police Department Total,Person, Sexual Penetration Object CSC 1st,1
 Tecumseh Police Department Total,Person, Sexual Contact Forcible CSC 2nd,1
 Tecumseh Police Department Total,Person, Sexual Contact Forcible CSC 4th,1
 Tecumseh Police Department Total,Person, Nonaggravated Assault,21
 Tecumseh Police Department Total,Person, Aggravated/Felonious Assault,3
 Tecumseh Police Department Total,Person, Intimidation/Stalking,8
 Tecumseh Police Department Total,Person, Non,1
 Tecumseh Police Department Total,Person, Human Trafficking Commerical Sex Acts,0
 Tecumseh Police Department Total,Person,,41
 Tecumseh Police Department Total,Property, Carjacking,0
 Tecumseh Police Department Total,Property, Arson,0
 Tecumseh Police Department Total,Property, Extortion,0
 Tecumseh Police Department Total,Property, Burglary Forced Entry,3
 Tecumseh Police Department Total,Property, Burglary Entry Without Force (Intent),1
 Tecumseh Police Department Total,Property, Burglary Entry w/out Authorization w/or w/out Force,0
 Tecumseh Police Department Total,Property, Larceny Theft from Building,4
 Tecumseh Police Department Total,Property, Larceny Theft from Motor Vehicle,5
 Tecumseh Police Department Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,3
 Tecumseh Police Department Total,Property, Larceny Other,12
 Tecumseh Police Department Total,Property, Motor Vehicle Theft,4
 Tecumseh Police Department Total,Property, Motor Vehicle as Stolen Property,0
 Tecumseh Police Department Total,Property, Forgery/Counterfeiting,2
 Tecumseh Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,17
 Tecumseh Police Department Total,Property, Fraud Credit Card/ATM,7
 Tecumseh Police Department Total,Property, Fraud Wire,3
 Tecumseh Police Department Total,Property, Fraud Bad Checks,1
 Tecumseh Police Department Total,Property, Fraud Identity Theft,7
 Tecumseh Police Department Total,Property, Embezzlement,1
 Tecumseh Police Department Total,Property, Damage To Property,16
 Tecumseh Police Department Total,Property, Retail Fraud Theft,7
 Tecumseh Police Department Total,Property,,93
 Tecumseh Police Department Total,Society, Violation of Controlled Substance,3
 Tecumseh Police Department Total,Society, Narcotic Equipment Violations,1
 Tecumseh Police Department Total,Society, Obscenity,0
 Tecumseh Police Department Total,Society, Family Abuse/Neglect Nonviolent,4
 Tecumseh Police Department Total,Society, Family Other,1
 Tecumseh Police Department Total,Society, Liquor Violations Other,2
 Tecumseh Police Department Total,Society, Weapons Offense Concealed,3
 Tecumseh Police Department Total,Society, Weapons Offense Other,4
 Tecumseh Police Department Total,Society, Disorderly Conduct,4
 Tecumseh Police Department Total,Society, Public Peace Other,1
 Tecumseh Police Department Total,Society, OUIL or OUID,15
 Tecumseh Police Department Total,Society, Trespass,1
 Tecumseh Police Department Total,Society, Animal Cruelty,1
 Tecumseh Police Department Total,Society,,40
 Tecumseh Police Department Total,All Other, Sex Offense Other,2
 Tecumseh Police Department Total,All Other, Obstructing Police,5
 Tecumseh Police Department Total,All Other, Escape/Flight,1
 Tecumseh Police Department Total,All Other, Obstructing Justice,10
 Tecumseh Police Department Total,All Other, Hit And Run Motor Vehicle Accident,1
 Tecumseh Police Department Total,All Other, Health And Safety,3
 Tecumseh Police Department Total,All Other, Conservation,0
 Tecumseh Police Department Total,All Other, Juvenile Runaway,4
 Tecumseh Police Department Total,All Other, Miscellaneous Criminal Offense,1
 Tecumseh Police Department Total,All Other,,27
 Cambridge Township Police Department Total,All Other,,96
 Cambridge Township Police Department Total,Person, Sexual Contact Forcible CSC 2nd,0
 Cambridge Township Police Department Total,Person, Sexual Contact Forcible CSC 4th,1
 Cambridge Township Police Department Total,Person, Nonaggravated Assault,7
 Cambridge Township Police Department Total,Person, Aggravated/Felonious Assault,2
 Cambridge Township Police Department Total,Person, Intimidation/Stalking,4
 Cambridge Township Police Department Total,Person,,14
 Cambridge Township Police Department Total,Property, Burglary Forced Entry,3
 Cambridge Township Police Department Total,Property, Burglary Entry Without Force (Intent),1
 Cambridge Township Police Department Total,Property, Larceny Theft from Building,4
 Cambridge Township Police Department Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,1
 Cambridge Township Police Department Total,Property, Larceny Other,4
 Cambridge Township Police Department Total,Property, Motor Vehicle Theft,1
 Cambridge Township Police Department Total,Property, Motor Vehicle as Stolen Property,1
 Cambridge Township Police Department Total,Property, Forgery/Counterfeiting,0
 Cambridge Township Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,6
 Cambridge Township Police Department Total,Property, Fraud Wire,1
 Cambridge Township Police Department Total,Property, Fraud Bad Checks,0
 Cambridge Township Police Department Total,Property, Fraud Identity Theft,4
 Cambridge Township Police Department Total,Property, Fraud Hacking/Computer Invasion,0
 Cambridge Township Police Department Total,Property, Damage To Property,10
 Cambridge Township Police Department Total,Property, Retail Fraud Theft,0
 Cambridge Township Police Department Total,Property,,36
 Cambridge Township Police Department Total,Society, Violation of Controlled Substance,1
 Cambridge Township Police Department Total,Society, Narcotic Equipment Violations,0
 Cambridge Township Police Department Total,Society, Family Abuse/Neglect Nonviolent,2
 Cambridge Township Police Department Total,Society, Liquor Violations Other,1
 Cambridge Township Police Department Total,Society, Weapons Offense Concealed,1
 Cambridge Township Police Department Total,Society, Weapons Offense Other,4
 Cambridge Township Police Department Total,Society, Disorderly Conduct,3
 Cambridge Township Police Department Total,Society, OUIL or OUID,13
 Cambridge Township Police Department Total,Society, Trespass,3
 Cambridge Township Police Department Total,Society, Animal Cruelty,1
 Cambridge Township Police Department Total,Society,,29
 Cambridge Township Police Department Total,All Other, Obstructing Police,1
 Cambridge Township Police Department Total,All Other, Escape/Flight,1
 Cambridge Township Police Department Total,All Other, Obstructing Justice,6
 Cambridge Township Police Department Total,All Other, Health And Safety,5
 Cambridge Township Police Department Total,All Other, Juvenile Runaway,1
 Cambridge Township Police Department Total,All Other, Miscellaneous Criminal Offense,3
 Cambridge Township Police Department Total,All Other,,17
 Madison Township Police Department Total,All Other,,437
 Madison Township Police Department Total,Person, Kidnapping/Abduction,1
 Madison Township Police Department Total,Person, Parental Kidnapping,1
 Madison Township Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 1st,4
 Madison Township Police Department Total,Person, Sexual Penetration Penis/Vagina CSC 3rd,0
 Madison Township Police Department Total,Person, Sexual Penetration Oral/Anal CSC 1st,1
 Madison Township Police Department Total,Person, Sexual Contact Forcible CSC 2nd,3
 Madison Township Police Department Total,Person, Sexual Contact Forcible CSC 4th,2
 Madison Township Police Department Total,Person, Nonaggravated Assault,32
 Madison Township Police Department Total,Person, Aggravated/Felonious Assault,5
 Madison Township Police Department Total,Person, Intimidation/Stalking,14
 Madison Township Police Department Total,Person,,63
 Madison Township Police Department Total,Property, Burglary Forced Entry,4
 Madison Township Police Department Total,Property, Burglary Entry Without Force (Intent),2
 Madison Township Police Department Total,Property, Burglary Entry w/out Authorization w/or w/out Force,1
 Madison Township Police Department Total,Property, Larceny Theft from Building,8
 Madison Township Police Department Total,Property, Larceny Theft from Coin Operated Machine/Device,0
 Madison Township Police Department Total,Property, Larceny Theft from Motor Vehicle,4
 Madison Township Police Department Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,19
 Madison Township Police Department Total,Property, Larceny Other,30
 Madison Township Police Department Total,Property, Motor Vehicle Theft,3
 Madison Township Police Department Total,Property, Motor Vehicle as Stolen Property,0
 Madison Township Police Department Total,Property, Forgery/Counterfeiting,4
 Madison Township Police Department Total,Property, Fraud False Pretense/Swindle/Confidence Game,8
 Madison Township Police Department Total,Property, Fraud Credit Card/ATM,5
 Madison Township Police Department Total,Property, Fraud Bad Checks,2
 Madison Township Police Department Total,Property, Fraud Identity Theft,2
 Madison Township Police Department Total,Property, Embezzlement,2
 Madison Township Police Department Total,Property, Stolen Property,3
 Madison Township Police Department Total,Property, Damage To Property,18
 Madison Township Police Department Total,Property, Retail Fraud Misrepresentation,3
 Madison Township Police Department Total,Property, Retail Fraud Theft,141
 Madison Township Police Department Total,Property, Retail Fraud Refund/Exchange,1
 Madison Township Police Department Total,Property, Retail Fraud Organized Crime,1
 Madison Township Police Department Total,Property,,261
 Madison Township Police Department Total,Society, Violation of Controlled Substance,9
 Madison Township Police Department Total,Society, Narcotic Equipment Violations,2
 Madison Township Police Department Total,Society, Family Abuse/Neglect Nonviolent,4
 Madison Township Police Department Total,Society, Family Other,1
 Madison Township Police Department Total,Society, Weapons Offense Concealed,0
 Madison Township Police Department Total,Society, Weapons Offense Other,3
 Madison Township Police Department Total,Society, Disorderly Conduct,9
 Madison Township Police Department Total,Society, Public Peace Other,2
 Madison Township Police Department Total,Society, OUIL or OUID,8
 Madison Township Police Department Total,Society, Trespass,7
 Madison Township Police Department Total,Society, Animal Cruelty,0
 Madison Township Police Department Total,Society,,45
 Madison Township Police Department Total,All Other, Possession of Burglary Tools,1
 Madison Township Police Department Total,All Other, Sex Offense Other,0
 Madison Township Police Department Total,All Other, Obstructing Police,6
 Madison Township Police Department Total,All Other, Obstructing Justice,50
 Madison Township Police Department Total,All Other, Health And Safety,3
 Madison Township Police Department Total,All Other, Invasion of Privacy Other,0
 Madison Township Police Department Total,All Other, Juvenile Runaway,3
 Madison Township Police Department Total,All Other, Miscellaneous Criminal Offense,5
 Madison Township Police Department Total,All Other,,68
 MSP RHINO Total,All Other,,71
 MSP RHINO Total,Property, Burglary Forced Entry,1
 MSP RHINO Total,Property, Stolen Property,0
 MSP RHINO Total,Property,,1
 MSP RHINO Total,Society, Violation of Controlled Substance,43
 MSP RHINO Total,Society, Narcotic Equipment Violations,5
 MSP RHINO Total,Society, Family Abuse/Neglect Nonviolent,0
 MSP RHINO Total,Society, Weapons Offense Concealed,5
 MSP RHINO Total,Society, Weapons Offense Other,2
 MSP RHINO Total,Society, OUIL or OUID,1
 MSP RHINO Total,Society,,56
 MSP RHINO Total,All Other, Obstructing Police,4
 MSP RHINO Total,All Other, Obstructing Justice,9
 MSP RHINO Total,All Other, Smuggling,1
 MSP RHINO Total,All Other, Solicitation (All Crimes Except Prostitution),0
 MSP RHINO Total,All Other, Conspiracy (All Crimes),0
 MSP RHINO Total,All Other,,14
 MSP Brighton Total,All Other,,1562
 MSP Brighton Total,Person, Murder/Nonnegligent Manslaughter (Voluntary),3
 MSP Brighton Total,Person, Negligent Homicide/Manslaughter (Involuntary),0
 MSP Brighton Total,Person, Kidnapping/Abduction,0
 MSP Brighton Total,Person, Parental Kidnapping,2
 MSP Brighton Total,Person, Sexual Penetration Penis/Vagina CSC 1st,13
 MSP Brighton Total,Person, Sexual Penetration Penis/Vagina CSC 3rd,13
 MSP Brighton Total,Person, Sexual Penetration Oral/Anal CSC 1st,5
 MSP Brighton Total,Person, Sexual Penetration Oral/Anal CSC 3rd,2
 MSP Brighton Total,Person, Sexual Penetration Object CSC 1st,3
 MSP Brighton Total,Person, Sexual Penetration Object CSC 3rd,12
 MSP Brighton Total,Person, Sexual Contact Forcible CSC 2nd,10
 MSP Brighton Total,Person, Sexual Contact Forcible CSC 4th,5
 MSP Brighton Total,Person, Nonaggravated Assault,255
 MSP Brighton Total,Person, Aggravated/Felonious Assault,64
 MSP Brighton Total,Person, Intimidation/Stalking,43
 MSP Brighton Total,Person, Non,1
 MSP Brighton Total,Person,,431
 MSP Brighton Total,Property, Robbery,2
 MSP Brighton Total,Property, Arson,3
 MSP Brighton Total,Property, Extortion,1
 MSP Brighton Total,Property, Burglary Forced Entry,53
 MSP Brighton Total,Property, Burglary Entry Without Force (Intent),1
 MSP Brighton Total,Property, Burglary Entry w/out Authorization w/or w/out Force,5
 MSP Brighton Total,Property, Larceny Theft from Building,22
 MSP Brighton Total,Property, Larceny Theft from Motor Vehicle,25
 MSP Brighton Total,Property, Larceny Theft of Motor Vehicle Parts/Accessories,10
 MSP Brighton Total,Property, Larceny Other,39
 MSP Brighton Total,Property, Motor Vehicle Theft,45
 MSP Brighton Total,Property, Motor Vehicle as Stolen Property,14
 MSP Brighton Total,Property, Forgery/Counterfeiting,7
